CORINTHIANS;t;BRA;1;ffffff;000000;000000;
Kleberson;md;BRA;;1;
Willians;md;BRA;;1;
Maldonado;md;CHI;;1;
Petkovic;md;SER;;0;
Renato Abreu;md;BRA;;1;
Deivid;av;BRA;;1;
Diego Mauricio;av;BRA;;1;
Diogo;av;BRA;;0;
BOTAFOGO;t;BRA;1;000000;ffffff;ffffff;
Jefferson;gr;BRA;;1;
Renan;gr;BRA;;0;
Alessandro;df;BRA;;1;
Antonio Carlos;df;BRA;;1;
Danny Moraes;df;BRA;;1;
Fabio Ferreira;df;BRA;;1;
Marcelo Cordeiro;df;BRA;;0;
Fahel;md;BRA;;1;
Lucio Flavio;md;BRA;;1;
Maicossuel;md;BRA;;1;
Leandro Guerre;md;BRA;;1;
Tulio Souza;md;BRA;;0;
Renato Caja;md;BRA;;0;
Herrera;av;ARG;;1;
Jobson;av;BRA;;0;
Loco Abreu;av;URU;;1;
ATLETICO PR;t;BRA;2;ff0000;000000;000000;
Joao Carlos;gr;BRA;;1;
Neto;gr;BRA;;0;
Marcio Azevedo;df;BRA;;1;
Elder Granja;df;BRA;;1;
Rodolpho;df;BRA;;1;
Manoel;df;BRA;;1;
Chico;df;BRA;;0;
Wagner Diniz;df;BRA;;0;
Branquinho;md;BRA;;1;
Netinho;md;BRA;;1;
Gonzales;md;PAR;;1;
Paulo Baier;md;BRA;;1;
Vitor;md;BRA;;0;
Guerron;av;EQU;;1;
Maikon Leite;av;BRA;;1;
Bruno Mineiro;av;BRA;;0;
FLUMINENSE;t;BRA;2;00ff00;ff0000;ff0000;
Fern.Henrique;gr;BRA;;1;
Ricardo Berna;gr;BRA;;0;
Andre Luis;df;BRA;;1;
Mariano;df;BRA;;1;
Cassio;df;BRA;;1;
Belletti;df;BRA;;1;
Gum;df;BRA;;0;
Leandro Euzebio;df;BRA;;1;
Diguinho;md;BRA;;1;
Marquinho;md;BRA;;0;
Tarta;md;BRA;;0;
Conca;md;ARG;;1;
Deco;md;BRA;;1;
Emerson;av;BRA;;0;
Washington;av;BRA;;1;
Fred;av;BRA;;1;
ATLETICO MG;t;BRA;2;ffffff;000000;000000;
Aranha;gr;BRA;;1;
Fabio Costa;gr;BRA;;0;
Jairo Campos;df;PAR;;1;
Werley;df;BRA;;1;
Leandro;df;BRA;;1;
Rever;df;BRA;;1;
Lima;df;BRA;;0;
Diego Souza;md;BRA;;1;
Fabiano;md;BRA;;1;
Renan Oliveira;md;BRA;;1;
Ricardinho;md;BRA;;1;
Serginho Mineiro;md;BRA;;0;
Daniel Carvalho;av;BRA;;1;
Neto Berola;av;BRA;;0;
Diego Tardelli;av;BRA;;1;
Obina;av;BRA;;0;
SANTOS;t;BRA;2;ffffff;000000;ffffff;
Felipe;gr;BRA;;0;
Rafael;gr;BRA;;1;
Bruno Aguiar;df;BRA;;1;
